"date","n"
2020-03-22,179
2020-03-29,338
2020-04-05,456
2020-04-12,552
2020-04-19,645
2020-04-26,762
2020-05-03,851
2020-05-10,978
2020-05-17,1103
2020-05-24,1223
2020-05-31,1336
2020-06-07,1524
2020-06-14,1730
2020-06-21,1982
2020-06-28,2252
2020-07-05,2570
2020-07-12,2944
2020-07-19,3314
2020-07-26,3661
2020-08-02,3997
2020-08-09,4345
2020-08-16,4682
2020-08-23,4996
2020-08-30,5318
2020-09-06,5592
2020-09-13,5862
2020-09-20,6082
2020-09-27,6320
2020-10-04,6542
2020-10-11,6777
2020-10-18,7035
2020-10-25,7279
2020-11-01,7539
2020-11-08,7791
2020-11-15,8049
2020-11-22,8318
2020-11-29,8573
2020-12-06,8832
2020-12-13,9073
2020-12-20,9301
2020-12-27,9536
2021-01-03,9772
2021-01-10,9980
2021-01-17,10162
2021-01-24,10392
2021-01-31,10616
2021-02-07,10957
2021-02-14,11471
2021-02-21,12171
2021-02-28,12904
2021-03-07,13797
2021-03-14,14418
2021-03-21,14888
2021-03-28,15215
2021-04-04,15512
2021-04-11,15787
2021-04-18,16009
2021-04-25,16210
2021-05-02,16380
2021-05-09,16575
2021-05-16,16816
2021-05-23,17086
2021-05-30,17284
2021-06-06,17545
2021-06-13,17750
2021-06-20,17949
2021-06-27,18153
2021-07-04,18343
2021-07-11,18504
2021-07-18,18656
2021-07-25,18810
2021-08-01,18982
2021-08-08,19132
2021-08-15,19277
2021-08-22,19406
2021-08-29,19544
2021-09-05,19665
2021-09-12,19770
2021-09-19,19886
2021-09-26,20003
2021-10-03,20129
2021-10-10,20238
2021-10-17,20348
2021-10-24,20451
2021-10-31,20559
2021-11-07,20633
2021-11-14,20711
2021-11-21,20796
