"startdate","p","perc_threshold","home_steep","residuo","residuo_mean","log_like","cov_matrix1","cov_matrix2","cov_matrix3","cov_matrix4","cov_matrix5","cov_matrix6","cov_matrix7","cov_matrix8","cov_matrix9","info","data","rel_like","prob"
18281,0.0269273456133206,0.9,1.97300811254879,0.0442187993309191,0.000581826306985778,-566.149733324925,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-01-20,3.37375217766834e-92,3.37375217766834e-92
18282,0.0261803196714165,0.9,6.02863909823135,0.0375705509661544,0.000494349354817821,-578.532375199792,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-01-21,8.05056230642939e-87,8.05056230642939e-87
18283,0.0245820830620911,0.9,15,0.0447221003839082,0.000588448689261951,-565.289582630441,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-01-22,1.42742887486066e-92,1.42742887486066e-92
18284,0.0265241025615528,0.9,15,0.0346218363289426,0.000455550478012402,-584.744306165745,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-01-23,4.01451935414881e-84,4.01451935414881e-84
18285,0.0268554310293104,0.9,15,0.0332897543619801,0.000438023083710265,-587.72615992957,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-01-24,7.91837730041154e-83,7.91837730041154e-83
18286,0.0275855953057793,0.9,6.52863931736021,0.0327048445922638,0.000430326902529787,-589.073370374933,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-01-25,3.04594637996252e-82,3.04594637996252e-82
18287,0.0271836542584589,0.9,15,0.0305483601549288,0.000401952107301695,-594.257498550605,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-01-26,5.43451152416386e-80,5.43451152416386e-80
18288,0.0304121444775584,0.660911123016852,15,0.0253257423887972,0.000333233452484174,-608.506711387564,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-01-27,8.38523079439053e-74,8.38523079439053e-74
18289,0.0284047033587562,0.9,6.31239496567571,0.0274959367995393,0.000361788642099201,-602.258228747492,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-01-28,1.62118840799946e-76,1.62118840799946e-76
18290,0.0282180120839385,0.750702014489678,8.4030159514506,0.0312676711047485,0.00041141672506248,-592.488698494183,0.000000431498836249137,-0.0000107541657218964,0.00045372245166631,-0.0000107541657218964,0.000296973409415945,-0.018482240605456,0.000453722451666309,-0.018482240605456,3.08295704245296,2,2020-01-29,9.26788017089215e-81,9.26788017089215e-81
18291,0.0284532551071662,0.9,8.33826984925081,0.0245145474786109,0.000322559835244881,-610.980864650421,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-01-30,9.95465309338267e-73,9.95465309338267e-73
18292,0.0358437876562153,0.9,0.00870393755064565,0.0334146235826292,0.000439666099771436,-587.441618730112,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-01-31,5.95746526236148e-83,5.95746526236148e-83
18293,0.0301194373952669,0.9,15,0.0254462492361073,0.000334819068896149,-608.145940131579,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-02-01,5.84566676935614e-74,5.84566676935614e-74
18294,0.029918039083949,0.9,8.98331419081151,0.018794443596711,0.000247295310483039,-631.174478332747,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-02-02,5.86139678741281e-64,5.86139678741281e-64
18295,0.0299514381433111,0.9,15,0.0169912983616732,0.000223569715285174,-638.839832317528,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-02-03,1.25032253698475e-60,1.25032253698475e-60
18296,0.0295061396560719,0.9,15,0.0197632129881376,0.000260042276159705,-627.354641805993,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-02-04,1.28548554248633e-65,1.28548554248633e-65
18297,0.031031660992121,0.9,4.76768585916215,0.0146187310985232,0.000192351724980568,-650.270057026893,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-02-05,1.15108018406898e-55,1.15108018406898e-55
