ageflor,pop
0,84000
5,87000
10,111000
15,108000
20,123000
25,115000
30,122000
35,131000
40,117000
45,104000
50,99000
55,94000
60,79000
65,53000
70,35000
75,25000
80,10334
85,10334
90,10334
