"date","n"
2020-03-22,140
2020-03-29,534
2020-04-05,1230
2020-04-12,1963
2020-04-19,2733
2020-04-26,3603
2020-05-03,4626
2020-05-10,5738
2020-05-17,6906
2020-05-24,8084
2020-05-31,9220
2020-06-07,10368
2020-06-14,11527
2020-06-21,12504
2020-06-28,13325
2020-07-05,14128
2020-07-12,14883
2020-07-19,15640
2020-07-26,16344
2020-08-02,17009
2020-08-09,17671
2020-08-16,18298
2020-08-23,18826
2020-08-30,19340
2020-09-06,19793
2020-09-13,20273
2020-09-20,20651
2020-09-27,20979
2020-10-04,21341
2020-10-11,21641
2020-10-18,21890
2020-10-25,22127
2020-11-01,22350
2020-11-08,22555
2020-11-15,22804
2020-11-22,23100
2020-11-29,23447
2020-12-06,23857
2020-12-13,24302
2020-12-20,24767
2020-12-27,25213
2021-01-03,25676
2021-01-10,26212
2021-01-17,26770
2021-01-24,27310
2021-01-31,27885
2021-02-07,28395
2021-02-14,28859
2021-02-21,29313
2021-02-28,29850
2021-03-07,30596
2021-03-14,31608
2021-03-21,33084
2021-03-28,34908
2021-04-04,36511
2021-04-11,37930
2021-04-18,39142
2021-04-25,40181
2021-05-02,41091
2021-05-09,41930
2021-05-16,42724
2021-05-23,43507
2021-05-30,44242
2021-06-06,45019
2021-06-13,45736
2021-06-20,46403
2021-06-27,47034
2021-07-04,47561
2021-07-11,48029
2021-07-18,48469
2021-07-25,48804
2021-08-01,49115
2021-08-08,49382
2021-08-15,49621
2021-08-22,49846
2021-08-29,50060
2021-09-05,50258
2021-09-12,50443
2021-09-19,50644
2021-09-26,50842
2021-10-03,51015
2021-10-10,51182
2021-10-17,51323
2021-10-24,51435
2021-10-31,51561
2021-11-07,51700
2021-11-14,51804
